Process Num,Input Length,Output Length,TTFT (ms),avg TPS (without prefill),avg TPS (with prefill),Total Time (ms),TPS (without prefill),TPS (with prefill),Error,avg input Tokens,avg output Tokens
1,128,128,42.3538,27.1687,26.6253,4753.6606,27.1687,26.6253,,128,128
1,256,256,72.5551,18.6550,18.2819,13795.3928,18.6550,18.2819,,256,256
1,512,512,83.8262,45.3171,44.4107,11382.0013,45.3171,44.4107,,512,512
1,128,1024,123.7809,36.9226,36.1842,27857.4573,36.9226,36.1842,,128,1024
1,1024,128,180.5019,44.9048,44.0067,3030.9773,44.9048,44.0067,,1024,128
1,128,2048,72.8835,46.5865,45.6548,44034.1148,46.5865,45.6548,,128,2048
1,1024,1024,131.3075,17.8945,17.5366,57355.6441,17.8945,17.5366,,1024,1024
1,2048,2048,310.1265,10.6485,10.4356,192636.8446,10.6485,10.4356,,2048,2048
1,4096,1024,444.9326,16.7453,16.4104,61596.2906,16.7453,16.4104,,4096,1024
1,4096,4096,502.4326,13.3699,13.1025,306861.6955,13.3699,13.1025,,4096,4096
4,128,128,119.0250,13.4870,13.2173,9609.6237,13.4870,13.2173,,128,128
4,256,256,122.5568,20.3401,19.9333,12708.5399,20.3401,19.9333,,256,256
4,512,512,79.2509,31.6913,31.0574,16235.1238,31.6913,31.0574,,512,512
4,128,1024,104.4011,14.6917,14.3979,69803.6524,14.6917,14.3979,,128,1024
4,1024,128,141.4958,27.5441,26.9932,4788.5854,27.5441,26.9932,,1024,128
4,128,2048,87.8664,15.5333,15.2227,131933.4190,15.5333,15.2227,,128,2048
4,1024,1024,153.7507,12.6192,12.3668,81300.2231,12.6192,12.3668,,1024,1024
4,2048,2048,279.3706,29.9458,29.3469,68669.5093,29.9458,29.3469,,2048,2048
4,4096,1024,445.1871,11.0162,10.7959,93399.1089,11.0162,10.7959,,4096,1024
4,4096,4096,474.9038,32.9162,32.2579,124912.1170,32.9162,32.2579,,4096,4096
8,128,128,105.3279,34.9236,34.2251,3770.4742,34.9236,34.2251,,128,128
8,256,256,70.6221,33.8251,33.1486,7638.9625,33.8251,33.1486,,256,256
8,512,512,121.2488,30.4251,29.8166,16949.4763,30.4251,29.8166,,512,512
8,128,1024,78.1665,14.3200,14.0336,71586.6359,14.3200,14.0336,,128,1024
8,1024,128,131.0303,14.7650,14.4697,8800.1593,14.7650,14.4697,,1024,128
8,128,2048,70.8672,29.4910,28.9012,69515.6924,29.4910,28.9012,,128,2048
8,1024,1024,144.7913,18.2820,17.9163,56156.2397,18.2820,17.9163,,1024,1024
8,2048,2048,306.0920,25.1041,24.6020,81886.5125,25.1041,24.6020,,2048,2048
8,4096,1024,523.5231,16.1306,15.8080,64005.4958,16.1306,15.8080,,4096,1024
8,4096,4096,462.2305,30.5138,29.9036,134696.4165,30.5138,29.9036,,4096,4096
16,128,128,67.6719,7.4921,7.3422,17152.4097,7.4921,7.3422,,128,128
16,256,256,87.3733,13.5410,13.2702,18992.8854,13.5410,13.2702,,256,256
16,512,512,75.3723,8.0985,7.9366,63296.7955,8.0985,7.9366,,512,512
16,128,1024,90.2285,24.7490,24.2540,41465.6858,24.7490,24.2540,,128,1024
16,1024,128,136.0411,20.6098,20.1976,6346.6884,20.6098,20.1976,,1024,128
16,128,2048,128.7897,25.2408,24.7359,81267.3791,25.2408,24.7359,,128,2048
16,1024,1024,203.3496,6.2826,6.1570,163192.2988,6.2826,6.1570,,1024,1024
16,2048,2048,237.0096,16.2415,15.9167,126333.5154,16.2415,15.9167,,2048,2048
16,4096,1024,485.0890,9.0192,8.8388,114020.6153,9.0192,8.8388,,4096,1024
16,4096,4096,521.7926,10.8491,10.6321,378063.8499,10.8491,10.6321,,4096,4096
24,128,128,51.7356,13.6652,13.3919,9418.5707,13.6652,13.3919,,128,128
24,256,256,145.2672,9.9017,9.7037,25999.3988,9.9017,9.7037,,256,256
24,512,512,127.1467,10.9785,10.7589,46763.6936,10.9785,10.7589,,512,512
24,128,1024,114.4805,12.5915,12.3397,81438.9461,12.5915,12.3397,,128,1024
24,1024,128,151.9796,6.4612,6.3320,19962.4237,6.4612,6.3320,,1024,128
24,128,2048,100.1777,8.0982,7.9362,252995.6802,8.0982,7.9362,,128,2048
24,1024,1024,177.0851,8.4626,8.2933,121180.5889,8.4626,8.2933,,1024,1024
24,2048,2048,268.4475,19.9545,19.5554,102901.8486,19.9545,19.5554,,2048,2048
24,4096,1024,517.3970,21.9891,21.5493,47085.9537,21.9891,21.5493,,4096,1024
24,4096,4096,434.6695,12.4554,12.2063,329288.6631,12.4554,12.2063,,4096,4096
32,128,128,37.4462,15.8911,15.5732,8092.2888,15.8911,15.5732,,128,128
32,256,256,49.3465,12.6297,12.3771,20319.0632,12.6297,12.3771,,256,256
