Process Num,Input Length,Output Length,TTFT (ms),avg TPS (without prefill),avg TPS (with prefill),Total Time (ms),TPS (without prefill),TPS (with prefill),Error,avg input Tokens,avg output Tokens
1,128,128,57.3942,37.2739,36.5284,3491.4358,37.2739,36.5284,,128,128
1,256,256,90.9953,33.7030,33.0290,7686.7530,33.7030,33.0290,,256,256
1,512,512,89.6729,35.9467,35.2277,14332.9983,35.9467,35.2277,,512,512
1,128,1024,120.1355,13.1828,12.9192,77796.9397,13.1828,12.9192,,128,1024
1,1024,128,211.8954,27.0066,26.4665,4951.4741,27.0066,26.4665,,1024,128
1,128,2048,54.8642,17.2216,16.8771,118975.4846,17.2216,16.8771,,128,2048
1,1024,1024,159.7091,35.7254,35.0109,28822.7842,35.7254,35.0109,,1024,1024
1,2048,2048,226.4293,45.6857,44.7720,45054.4380,45.6857,44.7720,,2048,2048
1,4096,1024,491.0696,39.8255,39.0290,26203.2128,39.8255,39.0290,,4096,1024
1,4096,4096,487.8463,14.1658,13.8825,289634.6199,14.1658,13.8825,,4096,4096
4,128,128,66.0521,18.3283,17.9617,7049.8012,18.3283,17.9617,,128,128
4,256,256,136.9140,35.8749,35.1574,7272.8322,35.8749,35.1574,,256,256
4,512,512,108.6951,14.2013,13.9173,36161.6626,14.2013,13.9173,,512,512
4,128,1024,117.1245,10.4259,10.2174,98334.1869,10.4259,10.2174,,128,1024
4,1024,128,185.6982,23.4126,22.9443,5652.8493,23.4126,22.9443,,1024,128
4,128,2048,105.3136,26.9945,26.4546,75972.5082,26.9945,26.4546,,128,2048
4,1024,1024,146.5354,24.6764,24.1829,41643.5949,24.6764,24.1829,,1024,1024
4,2048,2048,310.7889,19.0560,18.6749,107783.6208,19.0560,18.6749,,2048,2048
4,4096,1024,504.9671,14.7967,14.5008,69709.6006,14.7967,14.5008,,4096,1024
4,4096,4096,460.6195,21.1400,20.7172,194216.8464,21.1400,20.7172,,4096,4096
8,128,128,33.0289,17.0781,16.7366,7527.9983,17.0781,16.7366,,128,128
8,256,256,114.9085,11.7985,11.5625,21812.5648,11.7985,11.5625,,256,256
8,512,512,111.6612,28.1740,27.6106,18284.4168,28.1740,27.6106,,512,512
8,128,1024,49.3791,9.8218,9.6254,104307.0840,9.8218,9.6254,,128,1024
8,1024,128,207.8414,28.2578,27.6927,4737.5563,28.2578,27.6927,,1024,128
8,128,2048,88.1516,31.6766,31.0431,64741.5799,31.6766,31.0431,,128,2048
8,1024,1024,167.3680,17.7299,17.3753,57922.8921,17.7299,17.3753,,1024,1024
8,2048,2048,305.7998,11.4722,11.2427,178824.6531,11.4722,11.2427,,2048,2048
8,4096,1024,448.4933,34.0698,33.3884,30504.4337,34.0698,33.3884,,4096,1024
8,4096,4096,513.3202,23.9252,23.4467,171713.2199,23.9252,23.4467,,4096,4096
16,128,128,38.7700,13.6507,13.3777,9415.5596,13.6507,13.3777,,128,128
16,256,256,134.0128,23.8529,23.3759,10866.4387,23.8529,23.3759,,256,256
16,512,512,95.7054,26.2878,25.7620,19572.4392,26.2878,25.7620,,512,512
16,128,1024,51.5797,16.3731,16.0457,62593.1027,16.3731,16.0457,,128,1024
16,1024,128,221.5225,17.9669,17.6075,7345.7404,17.9669,17.6075,,1024,128
16,128,2048,81.4950,27.2131,26.6689,75339.2920,27.2131,26.6689,,128,2048
16,1024,1024,152.1668,6.6524,6.5194,154080.4955,6.6524,6.5194,,1024,1024
16,2048,2048,289.6457,15.5075,15.1973,132354.8666,15.5075,15.1973,,2048,2048
16,4096,1024,487.2244,21.7687,21.3334,47527.1757,21.7687,21.3334,,4096,1024
16,4096,4096,474.0252,9.2014,9.0174,445622.4181,9.2014,9.0174,,4096,4096
24,128,128,36.6391,10.2274,10.0228,12552.0620,10.2274,10.0228,,128,128
24,256,256,106.6725,6.4845,6.3548,39585.4139,6.4845,6.3548,,256,256
24,512,512,165.8019,20.1191,19.7167,25614.3030,20.1191,19.7167,,512,512
24,128,1024,66.8805,16.9836,16.6439,60360.4665,16.9836,16.6439,,128,1024
24,1024,128,220.6118,7.0189,6.8785,18457.2126,7.0189,6.8785,,1024,128
24,128,2048,79.6251,5.5234,5.4129,370867.8054,5.5234,5.4129,,128,2048
24,1024,1024,195.5686,13.8014,13.5253,74391.0960,13.8014,13.5253,,1024,1024
24,2048,2048,269.0278,7.3077,7.1615,280521.6605,7.3077,7.1615,,2048,2048
24,4096,1024,453.2312,17.5635,17.2123,58755.7997,17.5635,17.2123,,4096,1024
24,4096,4096,436.9243,21.2731,20.8476,192980.7741,21.2731,20.8476,,4096,4096
32,128,128,66.1230,16.3393,16.0126,7899.9745,16.3393,16.0126,,128,128
32,256,256,70.7348,13.7619,13.4866,18672.8588,13.7619,13.4866,,256,256
32,512,512,144.3313,14.9854,14.6856,34311.0189,14.9854,14.6856,,512,512
32,128,1024,62.0075,13.4040,13.1360,76456.9148,13.4040,13.1360,,128,1024
32,1024,128,218.3179,11.6786,11.4451,11178.5004,11.6786,11.4451,,1024,128
32,128,2048,40.1302,14.2346,13.9499,143915.1238,14.2346,13.9499,,128,2048
32,1024,1024,171.7192,8.5364,8.3657,120128.9043,8.5364,8.3657,,1024,1024
32,2048,2048,305.4597,12.2997,12.0537,166813.8784,12.2997,12.0537,,2048,2048
32,4096,1024,487.9139,15.8369,15.5202,65146.9427,15.8369,15.5202,,4096,1024
32,4096,4096,509.5986,11.9005,11.6625,344695.4961,11.9005,11.6625,,4096,4096
48,128,128,47.9359,3.1407,3.0779,40803.6236,3.1407,3.0779,,128,128
48,256,256,120.4487,11.0134,10.7931,23364.9298,11.0134,10.7931,,256,256
48,512,512,166.4167,4.9572,4.8581,103449.8979,4.9572,4.8581,,512,512
48,128,1024,36.4774,10.8944,10.6765,94029.6234,10.8944,10.6765,,128,1024
48,1024,128,204.2874,5.6847,5.5710,22720.8590,5.6847,5.5710,,1024,128
48,128,2048,56.3460,11.6773,11.4437,175439.7018,11.6773,11.4437,,128,2048
48,1024,1024,216.4948,11.1144,10.8921,92349.2480,11.1144,10.8921,,1024,1024
48,2048,2048,251.9314,9.3150,9.1287,220113.4078,9.3150,9.1287,,2048,2048
48,4096,1024,516.7581,5.1104,5.0082,200890.7149,5.1104,5.0082,,4096,1024
48,4096,4096,494.3232,14.4693,14.1799,283576.0301,14.4693,14.1799,,4096,4096
64,128,128,88.2989,3.9250,3.8465,32699.8356,3.9250,3.8465,,128,128
64,256,256,106.1825,5.7501,5.6351,44626.9028,5.7501,5.6351,,256,256
64,512,512,94.6809,10.9731,10.7536,46754.2994,10.9731,10.7536,,512,512
64,128,1024,69.8004,5.3426,5.2357,191737.9607,5.3426,5.2357,,128,1024
64,1024,128,159.1828,6.1143,5.9920,21093.7540,6.1143,5.9920,,1024,128
64,128,2048,93.7749,10.3844,10.1767,197312.8412,10.3844,10.1767,,128,2048
64,1024,1024,215.3719,6.2588,6.1336,163824.6516,6.2588,6.1336,,1024,1024
64,2048,2048,288.6799,9.2025,9.0184,222837.5634,9.2025,9.0184,,2048,2048
64,4096,1024,528.0483,3.8072,3.7310,269493.8852,3.8072,3.7310,,4096,1024
64,4096,4096,527.7082,7.5393,7.3885,543813.0809,7.5393,7.3885,,4096,4096
128,128,128,114.9605,2.2162,2.1719,57871.3256,2.2162,2.1719,,128,128
128,256,256,144.3518,3.8728,3.7953,66246.9758,3.8728,3.7953,,256,256
128,512,512,167.7250,2.7479,2.6929,186493.4681,2.7479,2.6929,,512,512
128,128,1024,75.9409,4.6598,4.5666,219830.0318,4.6598,4.5666,,128,1024
128,1024,128,168.7993,4.4427,4.3538,28980.1384,4.4427,4.3538,,1024,128
128,128,2048,124.8062,6.2453,6.1204,328052.7973,6.2453,6.1204,,128,2048
128,1024,1024,142.9915,2.9158,2.8575,351328.0007,2.9158,2.8575,,1024,1024
128,2048,2048,260.8012,5.7913,5.6755,353893.6082,5.7913,5.6755,,2048,2048
128,4096,1024,455.9093,5.9039,5.7859,173899.5528,5.9039,5.7859,,4096,1024
128,4096,4096,527.0512,2.5874,2.5357,1583572.7257,2.5874,2.5357,,4096,4096
256,128,128,64.2187,1.4960,1.4661,85623.0251,1.4960,1.4661,,128,128
256,256,256,140.3697,0.8977,0.8798,285310.9907,0.8977,0.8798,,256,256
256,512,512,94.3793,0.8085,0.7923,633391.4256,0.8085,0.7923,,512,512
256,128,1024,52.0083,3.2165,3.1521,318414.5255,3.2165,3.1521,,128,1024
256,1024,128,175.8540,1.8385,1.8017,69799.3423,1.8385,1.8017,,1024,128
256,128,2048,105.1549,1.2196,1.1952,1679323.6613,1.2196,1.1952,,128,2048
256,1024,1024,154.5792,1.9868,1.9470,515560.6050,1.9868,1.9470,,1024,1024
256,2048,2048,230.1276,1.2237,1.1992,1673821.7222,1.2237,1.1992,,2048,2048
256,4096,1024,481.5017,2.8073,2.7511,365248.0053,2.8073,2.7511,,4096,1024
256,4096,4096,445.3323,2.7584,2.7032,1485375.1978,2.7584,2.7032,,4096,4096
