Process Num,Input Length,Output Length,TTFT (ms),avg TPS (without prefill),avg TPS (with prefill),Total Time (ms),TPS (without prefill),TPS (with prefill),Error,avg input Tokens,avg output Tokens
1,128,128,100.8216,9.1345,8.6995,14814.3032,9.1345,8.6995,,128,128
1,512,512,401.8887,8.4434,8.0414,64072.721,8.4434,8.0414,,512,512
1,1024,1024,858.5968,9.0243,8.5946,120003.6462,9.0243,8.5946,,1024,1024
1,2048,2048,1697.8448,8.6044,8.1947,251615.7165,8.6044,8.1947,,2048,2048
1,4096,4096,3322.113,8.6009,8.1913,503362.2197,8.6009,8.1913,,4096,4096
4,128,128,136.4798,8.5323,8.126,15888.4436,34.1291,32.5039,,128,128
4,512,512,540.9828,8.3214,7.9252,65145.3134,33.2857,31.7007,,512,512
4,1024,1024,1091.0959,8.2916,7.8967,130764.8685,33.1663,31.587,,1024,1024
4,2048,2048,2219.5004,8.5801,8.1715,252846.6432,34.3203,32.686,,2048,2048
4,4096,4096,4204.6133,8.8694,8.447,489109.1696,35.4775,33.7881,,4096,4096
8,128,128,168.269,8.2391,7.8467,16480.814,65.9125,62.7738,,128,128
8,512,512,740.4437,8.3744,7.9756,64935.8988,66.9954,63.8051,,512,512
8,1024,1024,1402.0978,8.6698,8.2569,125419.4802,69.358,66.0553,,1024,1024
8,2048,2048,2747.0275,8.3432,7.9459,260488.6928,66.7459,63.5675,,2048,2048
8,4096,4096,5869.2542,8.797,8.3781,494762.0831,70.3762,67.0249,,4096,4096
16,128,128,259.4626,7.9475,7.5691,17170.4196,127.1602,121.1049,,128,128
16,512,512,1081.1903,8.658,8.2457,63174.0341,138.528,131.9315,,512,512
16,1024,1024,2172.8257,7.9412,7.563,137568.2396,127.059,121.0085,,1024,1024
16,2048,2048,4180.7476,8.5461,8.1391,255804.6092,136.7374,130.2261,,2048,2048
16,4096,4096,7961.4478,8.2896,7.8949,526777.6643,132.6343,126.3183,,4096,4096
32,128,128,417.7677,7.6979,7.3313,17877.1531,246.3317,234.6016,,128,128
32,512,512,1767.6884,7.3431,6.9934,74979.2396,234.9793,223.7898,,512,512
32,1024,1024,3334.9452,7.4856,7.1291,146971.1633,239.5385,228.1319,,1024,1024
32,2048,2048,6924.1486,7.9436,7.5653,277632.1809,254.1956,242.0911,,2048,2048
32,4096,4096,13754.4846,8.0339,7.6513,549088.3567,257.0837,244.8416,,4096,4096
64,128,128,744.6025,6.8323,6.507,20415.7969,437.2688,416.4465,,128,128
64,512,512,3044.7747,6.822,6.4971,81848.6946,436.6077,415.8169,,512,512
64,1024,1024,5815.7492,6.5162,6.2059,170819.786,417.0371,397.1782,,1024,1024
64,2048,2048,11980.3241,6.5227,6.2121,341658.021,417.455,397.5762,,2048,2048
64,4096,4096,24629.7322,6.5629,6.2504,679949.5008,420.0258,400.0246,,4096,4096
128,128,128,1392.3552,4.208,4.0076,33331.616,538.6224,512.9737,,128,128
128,512,512,5609.9457,4.4572,4.245,126222.5031,570.5277,543.3597,,512,512
128,1024,1024,11195.8332,4.6126,4.393,244295.076,590.4163,562.3013,,1024,1024
128,2048,2048,23687.971,4.284,4.08,525647.0501,548.3539,522.2418,,2048,2048
128,4096,4096,47083.7556,4.2155,4.0148,1067314.5546,539.5861,513.8916,,4096,4096
