Process Num,Input Length,Output Length,TTFT (ms),avg TPS (without prefill),avg TPS (with prefill),Total Time (ms),TPS (without prefill),TPS (with prefill),Error,avg input Tokens,avg output Tokens
1,128,128,37.7542,28.6588,28.0856,4504.1033,28.6588,28.0856,,128,128
1,256,256,53.6081,29.9874,29.3876,8590.5402,29.9874,29.3876,,256,256
1,512,512,98.5117,21.2228,20.7984,24223.4996,21.2228,20.7984,,512,512
1,128,1024,37.7854,28.2411,27.6762,36297.0480,28.2411,27.6762,,128,1024
1,1024,128,180.2174,18.0047,17.6446,7289.4560,18.0047,17.6446,,1024,128
1,128,2048,91.7820,23.1959,22.7320,88383.0655,23.1959,22.7320,,128,2048
1,1024,1024,181.2181,9.8846,9.6869,103776.3103,9.8846,9.6869,,1024,1024
1,2048,2048,231.7519,10.6429,10.4301,192660.1969,10.6429,10.4301,,2048,2048
1,4096,1024,466.9427,34.6236,33.9311,30042.1310,34.6236,33.9311,,4096,1024
1,4096,4096,459.8710,26.8640,26.3267,152931.4792,26.8640,26.3267,,4096,4096
4,128,128,126.6114,12.8978,12.6399,10050.7526,12.8978,12.6399,,128,128
4,256,256,86.1241,30.5620,29.9508,8462.5301,30.5620,29.9508,,256,256
4,512,512,98.5366,33.0868,32.4251,15572.9864,33.0868,32.4251,,512,512
4,128,1024,34.4903,15.7748,15.4593,64948.2096,15.7748,15.4593,,128,1024
4,1024,128,219.7479,40.1079,39.3058,3411.1374,40.1079,39.3058,,1024,128
4,128,2048,59.0592,25.9412,25.4224,79006.7390,25.9412,25.4224,,128,2048
4,1024,1024,209.9945,17.1873,16.8435,59788.9817,17.1873,16.8435,,1024,1024
4,2048,2048,241.8734,35.0570,34.3558,58661.0822,35.0570,34.3558,,2048,2048
4,4096,1024,514.4454,13.8387,13.5619,74509.9220,13.8387,13.5619,,4096,1024
4,4096,4096,458.5046,13.1048,12.8427,313015.7413,13.1048,12.8427,,4096,4096
8,128,128,40.1506,12.2991,12.0532,10447.3881,12.2991,12.0532,,128,128
8,256,256,104.5600,15.2543,14.9492,16886.7228,15.2543,14.9492,,256,256
8,512,512,105.5049,32.7102,32.0560,15758.0974,32.7102,32.0560,,512,512
8,128,1024,59.4334,26.8636,26.3263,38177.9541,26.8636,26.3263,,128,1024
8,1024,128,221.4882,21.9993,21.5593,6039.8491,21.9993,21.5593,,1024,128
8,128,2048,65.5929,9.0334,8.8527,226780.5900,9.0334,8.8527,,128,2048
8,1024,1024,134.7477,27.1306,26.5880,37878.1310,27.1306,26.5880,,1024,1024
8,2048,2048,304.4905,32.0632,31.4219,64178.3744,32.0632,31.4219,,2048,2048
8,4096,1024,517.1483,24.5562,24.0650,42217.4819,24.5562,24.0650,,4096,1024
8,4096,4096,435.0998,11.5388,11.3080,355412.4113,11.5388,11.3080,,4096,4096
16,128,128,83.2467,19.0421,18.6612,6805.2003,19.0421,18.6612,,128,128
16,256,256,130.3680,22.8547,22.3976,11331.5892,22.8547,22.3976,,256,256
16,512,512,129.6592,23.6886,23.2148,21743.4222,23.6886,23.2148,,512,512
16,128,1024,81.9610,17.7340,17.3793,57824.3068,17.7340,17.3793,,128,1024
16,1024,128,187.9122,25.5436,25.0328,5198.9475,25.5436,25.0328,,1024,128
16,128,2048,110.0893,26.6492,26.1163,76960.3152,26.6492,26.1163,,128,2048
16,1024,1024,182.3616,17.1338,16.7911,59947.3098,17.1338,16.7911,,1024,1024
16,2048,2048,268.7700,6.7714,6.6360,302715.3910,6.7714,6.6360,,2048,2048
16,4096,1024,477.3891,6.1490,6.0261,167007.2630,6.1490,6.0261,,4096,1024
16,4096,4096,470.3180,12.7262,12.4716,322326.8521,12.7262,12.4716,,4096,4096
24,128,128,79.9362,16.8866,16.5489,7659.9042,16.8866,16.5489,,128,128
24,256,256,73.6095,21.1900,20.7662,12154.8045,21.1900,20.7662,,256,256
24,512,512,112.9031,12.9077,12.6495,39779.1829,12.9077,12.6495,,512,512
24,128,1024,90.9536,11.3558,11.1287,90265.1766,11.3558,11.1287,,128,1024
