Process Num,Input Length,Output Length,TTFT (ms),avg TPS (without prefill),avg TPS (with prefill),Total Time (ms),TPS (without prefill),TPS (with prefill),Error,avg input Tokens,avg output Tokens
1,128,128,124.1421,12.6452,12.3923,10246.5521,12.6452,12.3923,,128,128
1,256,256,102.6344,11.7020,11.4680,21979.2000,11.7020,11.4680,,256,256
1,512,512,107.2794,30.7837,30.1681,16739.4317,30.7837,30.1681,,512,512
1,128,1024,50.5097,46.6321,45.6995,22009.6302,46.6321,45.6995,,128,1024
1,1024,128,144.6128,28.6397,28.0670,4613.9264,28.6397,28.0670,,1024,128
1,128,2048,74.7812,44.3699,43.4825,46232.2471,44.3699,43.4825,,128,2048
1,1024,1024,177.0742,35.9640,35.2448,28649.9561,35.9640,35.2448,,1024,1024
1,2048,2048,270.1342,39.3641,38.5768,52297.2330,39.3641,38.5768,,2048,2048
1,4096,1024,500.4137,45.9918,45.0720,22765.2461,45.9918,45.0720,,4096,1024
1,4096,4096,511.6769,24.6150,24.1227,166914.5968,24.6150,24.1227,,4096,4096
4,128,128,97.3562,17.3736,17.0262,7464.8422,17.3736,17.0262,,128,128
4,256,256,132.3077,22.7472,22.2923,11386.4357,22.7472,22.2923,,256,256
4,512,512,98.0948,38.1129,37.3507,13531.8498,38.1129,37.3507,,512,512
4,128,1024,132.3333,15.6019,15.2898,65765.5507,15.6019,15.2898,,128,1024
4,1024,128,140.4319,16.2261,15.9016,8028.9587,16.2261,15.9016,,1024,128
4,128,2048,122.3543,38.5687,37.7973,53222.4736,38.5687,37.7973,,128,2048
4,1024,1024,126.8784,16.3692,16.0418,62683.3698,16.3692,16.0418,,1024,1024
4,2048,2048,225.5191,41.0783,40.2567,50081.5831,41.0783,40.2567,,2048,2048
4,4096,1024,446.4143,17.7254,17.3708,58216.7657,17.7254,17.3708,,4096,1024
4,4096,4096,433.8583,21.7007,21.2667,189183.3208,21.7007,21.2667,,4096,4096
8,128,128,59.1845,34.0767,33.3951,3815.4199,34.0767,33.3951,,128,128
8,256,256,142.8027,17.5469,17.1960,14732.2782,17.5469,17.1960,,256,256
8,512,512,87.5600,10.1278,9.9253,50641.3499,10.1278,9.9253,,512,512
8,128,1024,105.9868,24.4353,23.9466,42012.5009,24.4353,23.9466,,128,1024
8,1024,128,125.8856,31.6924,31.0586,4164.7067,31.6924,31.0586,,1024,128
8,128,2048,38.0593,26.0578,25.5367,78632.4447,26.0578,25.5367,,128,2048
8,1024,1024,171.0242,21.4608,21.0316,47885.8687,21.4608,21.0316,,1024,1024
8,2048,2048,250.8722,28.1398,27.5770,73030.4667,28.1398,27.5770,,2048,2048
8,4096,1024,495.8623,10.6233,10.4109,96887.3413,10.6233,10.4109,,4096,1024
8,4096,4096,490.6411,34.3346,33.6479,119787.2372,34.3346,33.6479,,4096,4096
16,128,128,40.2852,11.2315,11.0069,11436.8203,11.2315,11.0069,,128,128
16,256,256,117.5425,24.4831,23.9934,10573.7441,24.4831,23.9934,,256,256
16,512,512,94.6621,13.3813,13.1137,38356.8875,13.3813,13.1137,,512,512
16,128,1024,101.2734,17.2819,16.9363,59353.8989,17.2819,16.9363,,128,1024
16,1024,128,178.1849,22.7496,22.2946,5804.6532,22.7496,22.2946,,1024,128
16,128,2048,49.2020,15.6708,15.3574,130738.1418,15.6708,15.3574,,128,2048
16,1024,1024,215.7727,19.5075,19.1174,52708.3516,19.5075,19.1174,,1024,1024
16,2048,2048,309.8664,22.1602,21.7170,92727.9424,22.1602,21.7170,,2048,2048
16,4096,1024,431.6308,7.6429,7.4900,134412.6360,7.6429,7.4900,,4096,1024
16,4096,4096,489.7768,9.0438,8.8629,453396.3400,9.0438,8.8629,,4096,4096
24,128,128,62.7304,21.5767,21.1451,5995.0662,21.5767,21.1451,,128,128
24,256,256,91.3394,9.6986,9.5046,26486.9551,9.6986,9.5046,,256,256
24,512,512,166.9087,12.3382,12.0914,41664.0948,12.3382,12.0914,,512,512
24,128,1024,45.5439,6.0037,5.8836,170606.6107,6.0037,5.8836,,128,1024
24,1024,128,209.9689,21.9072,21.4690,6052.8012,21.9072,21.4690,,1024,128
24,128,2048,49.1318,7.6165,7.4642,268937.8602,7.6165,7.4642,,128,2048
24,1024,1024,152.2227,11.0086,10.7884,93170.7986,11.0086,10.7884,,1024,1024
24,2048,2048,240.1835,11.0617,10.8404,185384.2516,11.0617,10.8404,,2048,2048
24,4096,1024,525.2308,8.1588,7.9956,126033.9612,8.1588,7.9956,,4096,1024
24,4096,4096,488.1586,12.3719,12.1244,331561.7706,12.3719,12.1244,,4096,4096
32,128,128,33.0759,11.0931,10.8713,11571.7513,11.0931,10.8713,,128,128
32,256,256,120.2035,11.0074,10.7873,23377.2835,11.0074,10.7873,,256,256
32,512,512,127.1706,8.3456,8.1787,61477.1380,8.3456,8.1787,,512,512
32,128,1024,127.5727,11.0560,10.8349,92746.7891,11.0560,10.8349,,128,1024
32,1024,128,171.8536,4.7247,4.6302,27263.7638,4.7247,4.6302,,1024,128
32,128,2048,61.7531,6.0509,5.9299,338521.0814,6.0509,5.9299,,128,2048
32,1024,1024,140.4233,17.8875,17.5297,57387.1165,17.8875,17.5297,,1024,1024
32,2048,2048,301.1348,5.9349,5.8162,345381.2059,5.9349,5.8162,,2048,2048
32,4096,1024,487.5350,4.5614,4.4701,224981.2663,4.5614,4.4701,,4096,1024
32,4096,4096,450.8908,7.2801,7.1345,563080.9759,7.2801,7.1345,,4096,4096
48,128,128,58.1159,4.6431,4.5503,27625.6734,4.6431,4.5503,,128,128
48,256,256,131.3173,9.6759,9.4824,26588.7863,9.6759,9.4824,,256,256
48,512,512,113.8667,9.7718,9.5764,52509.6119,9.7718,9.5764,,512,512
48,128,1024,95.9439,8.5390,8.3682,120016.1717,8.5390,8.3682,,128,1024
48,1024,128,214.7937,4.3923,4.3045,29356.4524,4.3923,4.3045,,1024,128
48,128,2048,39.8045,5.5994,5.4874,365795.2749,5.5994,5.4874,,128,2048
48,1024,1024,180.1130,5.4154,5.3070,189272.0345,5.4154,5.3070,,1024,1024
48,2048,2048,304.0440,10.8575,10.6404,188928.7463,10.8575,10.6404,,2048,2048
48,4096,1024,505.9963,8.4595,8.2903,121553.1865,8.4595,8.2903,,4096,1024
48,4096,4096,456.7952,4.6868,4.5930,874404.8894,4.6868,4.5930,,4096,4096
64,128,128,107.5602,10.5164,10.3061,12278.9781,10.5164,10.3061,,128,128
64,256,256,88.3264,5.8545,5.7375,43815.0421,5.8545,5.7375,,256,256
64,512,512,107.4848,10.9421,10.7232,46899.3548,10.9421,10.7232,,512,512
64,128,1024,118.9663,2.4480,2.3991,418411.3446,2.4480,2.3991,,128,1024
64,1024,128,139.8943,6.2040,6.0799,20771.7684,6.2040,6.0799,,1024,128
64,128,2048,73.6529,9.7746,9.5791,209597.1125,9.7746,9.5791,,128,2048
64,1024,1024,186.8246,3.3637,3.2964,304614.3373,3.3637,3.2964,,1024,1024
64,2048,2048,322.8508,3.2676,3.2022,627084.5047,3.2676,3.2022,,2048,2048
64,4096,1024,517.8104,10.2713,10.0659,100213.2900,10.2713,10.0659,,4096,1024
64,4096,4096,473.4365,6.3776,6.2500,642725.7859,6.3776,6.2500,,4096,4096
128,128,128,119.9183,6.3470,6.2200,20286.9870,6.3470,6.2200,,128,128
128,256,256,72.1516,4.1064,4.0243,62413.7895,4.1064,4.0243,,256,256
128,512,512,149.3260,2.5482,2.4972,201078.3887,2.5482,2.4972,,512,512
