Process Num,Input Length,Output Length,TTFT (ms),avg TPS (without prefill),avg TPS (with prefill),Total Time (ms),TPS (without prefill),TPS (with prefill),Error,avg input Tokens,avg output Tokens
1,128,128,131.8502,12.7324,12.665,10106.62508,12.7324,12.665,,128,128
1,256,256,261.7798,12.7337,12.6186,20287.56118,12.7337,12.6186,,256,256
1,512,512,322.9225,12.6802,12.6039,40622.28918,12.6802,12.6039,,512,512
1,128,1024,131.3381,12.6533,12.6451,80979.7864,12.6533,12.6451,,128,1024
1,1024,128,477.9994,12.6343,12.1554,10530.29275,12.6343,12.1554,,1024,128
1,128,2048,131.1693,12.6178,12.6137,162362.9813,12.6178,12.6137,,128,2048
1,1024,1024,478.627,12.5718,12.5105,81851.55797,12.5718,12.5105,,1024,1024
1,2048,2048,816.5798,12.4101,12.355,165763.1943,12.4101,12.355,,2048,2048
1,4096,1024,1646.3058,12.2999,12.0729,84817.9493,12.2999,12.0729,,4096,1024
1,4096,4096,1656.1673,12.2739,12.2162,335292.5098,12.2739,12.2162,,4096,4096
4,128,128,487.8932,12.141,11.6672,10970.93415,48.5642,46.6688,,128,128
4,256,256,697.0075,12.1081,11.7546,21778.76091,48.4324,47.0183,,256,256
4,512,512,817.2062,11.8934,11.6829,43824.87082,47.5735,46.7315,,512,512
4,128,1024,480.8471,11.9962,11.9374,85780.68042,47.9847,47.7497,,128,1024
4,1024,128,1400.0339,11.4041,10.1447,12617.4376,45.6163,40.5788,,1024,128
4,128,2048,479.8571,11.7665,11.7383,174471.73,47.066,46.9532,,128,2048
4,1024,1024,1390.0486,11.5395,11.364,90109.32994,46.1578,45.4559,,1024,1024
4,2048,2048,2486.563,10.8783,10.7331,190811.48,43.5134,42.9324,,2048,2048
4,4096,1024,4582.0732,10.1792,9.716,105367.6846,40.7168,38.8639,,4096,1023
4,4096,4096,4564.8248,10.8657,10.7303,381723.2497,43.4627,42.9211,,4096,4096
8,128,128,772.4462,12.1195,11.3633,11264.31918,96.956,90.9065,,128,128
8,256,256,1115.3445,12.0656,11.499,22262.73751,96.5246,91.9923,,256,256
8,512,512,1521.6315,11.8275,11.433,44782.75776,94.6197,91.4638,,512,512
8,128,1024,773.6863,11.9416,11.8448,86451.73979,95.5331,94.7581,,128,1024
8,1024,128,2422.5533,10.8799,8.9591,14287.21166,87.039,71.6725,,1024,128
8,128,2048,780.4523,11.7109,11.6637,175587.0614,93.6869,93.3098,,128,2048
8,1024,1024,2426.5669,11.4287,11.1201,92085.32834,91.43,88.961,,1024,1024
8,2048,2048,4334.5532,10.774,10.5204,194633.7874,86.1918,84.1632,,2048,2047
8,4096,1024,8090.8254,9.8342,9.0711,112885.4392,78.6733,72.5691,,4096,1024
8,4096,4096,8115.2457,10.2183,10.0017,409529.7768,81.7467,80.0137,,4096,4096
16,128,128,1296.1112,11.7889,10.5871,12090.17825,188.6231,169.3937,,128,128
16,256,256,1696.8151,11.5339,10.7296,23859.21168,184.5427,171.6737,,256,256
16,512,512,2511.6892,11.1696,10.577,48400.95735,178.714,169.2322,,512,511
16,128,1024,1340.7116,11.4943,11.3324,90354.85029,183.9084,181.3184,,128,1023
16,1024,128,4156.8711,9.4902,7.1021,18022.80235,151.8434,113.6338,,1024,128
16,128,2048,1277.4056,11.1249,11.0528,185292.4144,177.9983,176.8448,,128,2048
16,1024,1024,4084.0735,10.6448,10.1866,100518.266,170.3173,162.9853,,1024,1023
16,2048,2048,7564.1623,9.6879,9.3255,219605.5698,155.0057,149.2084,,2048,2047
16,4096,1024,15363.2578,6.4289,5.7593,168076.3166,102.8629,92.1486,,4096,968
16,4096,4096,14933.3263,7.8887,5.5035,744236.6776,126.2186,88.0567,,4096,4095
24,128,128,1656.6138,11.4925,9.9872,12812.25467,275.8198,239.6924,,128,127
24,256,256,2132.614,11.2947,10.3019,24849.81465,271.0723,247.2453,,256,256
24,512,512,3115.8829,10.9699,10.2474,49959.69558,263.2776,245.9382,,512,511
24,128,1024,1612.0643,11.4118,11.2078,91365.24463,273.8832,268.9863,,128,1024
24,1024,128,5679.1638,8.6733,6.0454,21173.1286,208.1582,145.0896,,1024,128
24,128,2048,1671.5866,11.0625,10.9624,186828.2137,265.4994,263.0973,,128,2048
24,1024,1024,5744.7293,10.3987,9.7824,104673.8775,249.5696,234.7768,,1024,1023
24,2048,2048,10793.0884,9.1329,7.3604,278224.4239,219.1896,176.6488,,2048,2047
24,4096,1024,40705.3667,7.6127,4.001,255927.1951,182.7047,96.0234,,4096,1023
24,4096,4096,99714.9144,7.4822,4.3581,939840.5938,179.5727,104.5933,,4096,4095
32,128,128,1950.0636,11.0614,9.462,13527.77791,353.9639,302.7844,,128,128
32,256,256,2519.7852,10.7962,9.724,26326.7312,345.479,311.1666,,256,256
32,512,512,3956.1831,10.3982,9.578,53455.83224,332.7415,306.496,,512,512
32,128,1024,1982.9152,10.9267,10.6997,95695.02664,349.6534,342.3898,,128,1023
32,1024,128,7168.7018,7.7848,5.1759,24730.18813,249.113,165.6275,,1024,128
32,128,2048,1853.4892,10.4506,10.3531,197816.0279,334.4201,331.2977,,128,2048
32,1024,1024,7122.0682,9.6911,9.026,113436.7249,310.1166,288.8306,,1024,1023
32,2048,2048,13878.6574,7.8727,5.2682,388728.5545,251.9259,168.5829,,2048,2047
32,4096,1024,71413.2974,7.6743,3.7158,275582.5398,245.5775,118.9045,,4096,1024
32,4096,4096,304941.9314,6.7626,2.7507,1448295.848,216.4037,88.0235,,4096,3983
48,128,128,2497.1729,10.9053,8.9426,14313.53903,523.4548,429.2439,,128,128
48,256,256,3327.2901,10.1267,8.8858,28807.69277,486.0826,426.518,,256,255
48,512,512,5462.8781,9.6639,8.6886,58928.00498,463.8656,417.0513,,512,512
48,128,1024,2395.3316,10.3856,10.134,101041.971,498.5074,486.4315,,128,1023
48,1024,128,10338.2911,6.7464,4.0831,31348.71101,323.8284,195.9889,,1024,128
48,128,2048,2404.3175,9.5621,8.1996,249759.4337,458.9822,393.5827,,128,2047
48,1024,1024,10221.9245,8.7242,6.8386,149720.8748,418.7635,328.2508,,1024,1023
48,2048,2048,64420.7581,7.5253,4.2168,485655.9701,361.2165,202.4087,,2048,2047
48,4096,1024,151360.8459,7.0282,2.2966,437739.0375,337.3518,110.2392,,4096,1005
48,4096,4096,557142.4919,7.652,2.1643,1892492.995,367.2954,103.8868,,4096,4095
64,128,128,2992.6493,10.0487,8.0656,15869.77816,643.1176,516.2013,,128,128
64,256,256,4092.7367,9.744,8.3415,30690.06371,623.6189,533.8536,,256,256
64,512,512,7042.7634,9.1109,8.0031,63975.45433,583.0953,512.1964,,512,512
64,128,1024,2921.6095,10.0341,9.7413,105116.0698,642.1846,623.4442,,128,1023
64,1024,128,13614.3213,5.7672,3.297,38823.30418,369.0988,211.0073,,1024,128
64,128,2048,2986.0383,8.7275,6.5556,312393.111,558.5572,419.5611,,128,2047
64,1024,1024,13363.2969,7.2222,4.7266,216640.5847,462.2182,302.501,,1024,1023
64,2048,2048,146471.2142,7.7069,2.9361,697513.9658,493.2388,187.9088,,2048,2047
64,4096,1024,195389.2726,7.3589,1.8603,550443.6419,470.9678,119.0567,,4096,1023
64,4096,4096,925589.5901,7.1383,1.5924,2536932.332,456.8541,101.9152,,4096,4039
128,128,128,4969.1986,8.5602,6.2698,20415.42506,1095.7086,802.5304,,128,128
